Campaign,Ad group,Keyword,Match type,Impressions,Clicks,Conversions,trans - us_qb001 - 19 - 1582695525771769364,QBSE_MCC_BuyNow_90 Days,QBOLive_MCC_Lead_90Days,trans - us_qb01d - 19 - 1582695525771241388,PSG_MCC_Order_90 Days,trans - us_qb00d - 19 - 1582695525771387916,QBES_MCC_Signup_90Days,trans - us_qb017 - 19 - 1582695525771849587,QBDT_MCC_Order_90 Days,trans - us_qb00- - 19 - 1582695525771704407,trans - us_qb01- - 19 - 1582695525771217054,Calls from ads,trans - us_qb00c - 19 - 1582695525771425165,trans - us_qb00a - 19 - 1582695525771567110,1099_MCC_Purchase_90 Days,trans - us_qb00g - 19 - 1582695525771448247,QBEcosystem_MCC_WWSUIVisit_90 Days,trans - us_qb01a - 19 - 1582695525771226066,trans - us_qb004 - 19 - 1582695525771799558,trans - us_qb00f - 19 - 1582695525771546228,trans - us_qb0 - 19 - 1582695525771833426,QBO_Advanced_MCC_BuyNow_90Days,QBSE_MCC_Sub_90 Days,trans - us_po00 - 19 - 1582695525771917573,trans - us_qb01k - 19 - 1582695525771972335,ProAdvisor_MCC_Signup_90 Days,QBOA_MCC_Signup_90 Days,trans - us_qb018 - 19 - 1582695525771856716,trans - us_qb00m - 19 - 1582695525771759376,QBSE_MCC_Signup_90 Days,QBO_MCC_Login_90Days,QBOLive_MCC_ScheduleConsult_90Days,trans - us_qb00r - 19 - 1582695525771539487,PayrollFirst_MCC_BuyNow_90 Days,trans - us_qb00q - 19 - 1582695525771416667,trans - us_pa0 - 19 - 1582695525771179557,trans - us_qb00i - 19 - 1582695525771365531,QBO_MCC_Signup_90 Days,QBO_MCC_BuyNow_90Days,trans - us_pr0 - 19 - 1582695525771209368,trans - us_ps0 - 19 - 1582695525771886990,QuickBooks Accounting+Invoice (Android) installs,trans - us_qb019 - 19 - 1582695525771864364,trans - us_qb01h - 19 - 1582695525771896332,All conv.,Cost,Total conv. value,CTR,Conv. rate,Avg. CPC,Avg. position,Top of page CPC,First page CPC,Quality score,Ad relevance,Expected clickthrough rate,Landing page experience,Labels,Campaign state,Ad group state,Keyword state,Campaign ID,Ad group ID,Keyword ID
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,SKU_Desktop,quickbooks desktop,Exact,3942.0,1256.0,61.45,1.0,3.0,0.0,1.99,0.0,2.83,2.0,1.95,27.33,2.07,13.88,0.0,5.85,0.0,0.0,0.0,110.0,3.36,15.92,2.92,4.92,1.0,0.0,0.0,2.92,2.0,0.0,0.0,0.0,0.0,254.0,1.0,0.0,0.0,0.0,0.92,0.0,23.0,17.0,0.92,0.0,0.0,0.0,0.0,501.78,5124.4,33548.99,0.3186,0.0489,4.079936, --,0.31,0.28,9,Average,Above average,Above average, --,enabled,enabled,enabled,1479750863,58838807938,488087880232
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop_MMMarch20,SKU_Desktop,quickbooks desktop,Exact,3758.0,1078.0,48.51,0.0,4.0,0.0,0.27,0.0,1.0,1.0,0.0,16.56,7.83,14.66,0.0,1.92,0.0,1.0,0.0,91.0,1.37,11.47,6.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,237.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,18.0,0.0,0.0,0.0,0.0,1.0,437.07,3754.08,30694.24,0.2869,0.045,3.482449, --,0.42,0.28,9,Average,Above average,Above average, --,enabled,enabled,enabled,9653421075,97487255685,488087880232
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,SKU_Desktop,download quickbooks desktop,Exact,1431.0,221.0,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.94,2.0,0.0,1.0,0.0,0.0,0.0,25.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,112.46,1078.57,6406.36,0.15439999999999998,0.0404,4.880407, --,0.48,0.45,7,Average,Average,Above average, --,enabled,enabled,enabled,1479750863,58838807938,405381956397
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,SKU_Pro Desktop 2020,quickbooks desktop pro 2020,Exact,1006.0,178.0,16.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,0.0,5.85,0.0,5.95,0.0,0.0,0.0,13.0,0.0,2.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.96,0.0,0.0,0.0,62.21,1928.88,12421.42,0.1769,0.09380000000000001,10.836404, --,2.25,0.61,7,Average,Average,Above average, --,enabled,enabled,enabled,1479750863,67053473479,657346117803
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop_MMMarch20,SKU_Pro Desktop 2020,quickbooks desktop pro 2020,Exact,903.0,165.0,10.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.54,0.0,1.94,0.0,0.28,0.0,0.0,0.0,10.0,2.33,2.0,0.0,0.0,0.0,0.0,0.0,2.95,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,48.05,1417.91,4320.28,0.1827,0.0637,8.593394, --,1.72,0.6,9,Average,Above average,Above average, --,enabled,enabled,enabled,9653421075,97487257805,657346117803
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop_MMMarch20,SKU_Desktop,download quickbooks desktop,Exact,808.0,144.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.33,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43.35,206.14,407.19,0.1782,0.0231,1.431528, --,0.46,0.45,9,Average,Above average,Above average, --,enabled,enabled,enabled,9653421075,97487255685,405381956397
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop_MMMarch20,MAC_Computer,quickbooks for mac,Exact,692.0,189.0,13.52,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.92,2.0,4.0,2.34,0.0,1.0,0.0,0.0,0.0,31.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.26,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,90.52,1475.65,6526.34,0.2731,0.07150000000000001,7.807672, --,1.16,0.49,9,Average,Above average,Above average, --,enabled,enabled,enabled,9653421075,97487258285,13187422
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,MAC_Computer,quickbooks for mac,Exact,648.0,192.0,18.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.83,5.0,0.0,1.0,0.0,0.0,1.0,22.0,0.0,2.92,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,92.75,2359.1,12144.67,0.2963,0.0977,12.286979, --,0.77,0.7,9,Average,Above average,Above average, --,enabled,enabled,enabled,1479750863,90204115367,13187422
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop,SKU_Pro_Desktop,quickbooks desktop pro,Exact,462.0,86.0,4.14,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.14,0.0,0.0,0.0,25.14,830.0,1660.9,0.1861,0.0482,9.651163, --,0.55,0.55,10,Above average,Above average,Above average, --,enabled,enabled,enabled,1479750863,58838809178,362385244957
QBDT_US_GGL_Brand_Ancillary_Exact_Search_Desktop_MMMarch20,SKU_Pro_Desktop,quickbooks desktop pro,Exact,423.0,79.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,31.0,189.08,1088.01,0.1868,0.0506,2.393418, --,0.23,0.19,9,Average,Above average,Above average, --,enabled,enabled,enabled,9653421075,97487256845,362385244957
